;;;;;;;Klassifikation der Berufe 2010 – überarbeitete Fassung 2020;
;;;;;;;;
Umsteigeschlüssel von der Klassifikation der Berufe 2010 – überarbeitete Fassung 2020 (5-Steller) zur ISCO-08 (4-Steller);;;;;;;;
;;;;;;;;
"KldB 2010
(5-Steller)";Bezeichnungen der KldB2010 (5-Steller);Classification title (English);"ISCO-08
(4-Steller)";Bezeichnungen der ISCO-08 (4-Steller);Unit Group (English);"Umstieg eindeutig (1);
nicht eindeutig (0)";"Schwerpunkt (1) und 
Anzahl der Alternativen";
11793;Aufsichtskräfte - Forst- und Jagdwirtschaft, Landschaftspflege;Supervisors in forestry, hunting and landscape preservation;6210;Forstarbeitskräfte und verwandte Berufe;Forestry and related workers;0;1;
11793;Aufsichtskräfte - Forst- und Jagdwirtschaft, Landschaftspflege;Supervisors in forestry, hunting and landscape preservation;5419;Schutzkräfte und Sicherheitsbedienstete, anderweitig nicht genannt;Protective services workers not elsewhere classified;0;2;
11794;Führungskräfte - Forst- und Jagdwirtschaft, Landschaftspflege;Managers in forestry, hunting and landscape preservation;2132;Agrar-, Forst- und Fischereiwissenschaftler und -berater;Farming, forestry and fisheries advisers;1;1;
12101;Berufe im Gartenbau (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten;Occupations in gardening (without specialisation)-unskilled/semiskilled tasks;9214;Hilfsarbeiter im Gartenbau;Garden and horticultural labourers;1;1;
12102;Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;Occupations in gardening (without specialisation)-skilled tasks;6111;Ackerbauern und Gemüseanbauer;Field crop and vegetable growers;0;3;
12102;Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;Occupations in gardening (without specialisation)-skilled tasks;6112;Baum- und Strauchfrüchteanbauer;Tree and shrub crop growers;0;2;
12102;Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;Occupations in gardening (without specialisation)-skilled tasks;6113;Gärtner, Saat- und Pflanzenzüchter;Gardeners, horticultural and nursery growers;0;1;
12103;Berufe im Gartenbau (ohne Spezialisierung) - komplexe Spezialistentätigkeiten;Occupations in gardening (without specialisation)-complex tasks;3142;Agrartechniker;Agricultural technicians;1;1;
12104;Berufe im Gartenbau (ohne Spezialisierung) - hoch komplexe Tätigkeiten;Occupations in gardening (without specialisation)-highly complex tasks;2132;Agrar-, Forst- und Fischereiwissenschaftler und -berater;Farming, forestry and fisheries advisers;1;1;
12112;Berufe im Obst- und Gemüsebau - fachlich ausgerichtete Tätigkeiten;Occupations in fruit and vegetable farming-skilled tasks;6111;Ackerbauern und Gemüseanbauer;Field crop and vegetable growers;0;1;
12112;Berufe im Obst- und Gemüsebau - fachlich ausgerichtete Tätigkeiten;Occupations in fruit and vegetable farming-skilled tasks;6112;Baum- und Strauchfrüchteanbauer;Tree and shrub crop growers;0;2;
12113;Berufe im Obst- und Gemüsebau - komplexe Spezialistentätigkeiten;Occupations in fruit and vegetable farming-complex tasks;3142;Agrartechniker;Agricultural technicians;1;1;
12122;Berufe in Baumschule, Staudengärtnerei und Zierpflanzenbau - fachlich ausgerichtete Tätigkeiten;Occupations in tree, perennial and ornamental plants farming-skilled tasks;6113;Gärtner, Saat- und Pflanzenzüchter;Gardeners, horticultural and nursery growers;1;1;
12123;Berufe in Baumschule, Staudengärtnerei und Zierpflanzenbau - komplexe Spezialistentätigkeiten;Occupations in tree, perennial and ornamental plants farming-complex tasks;3142;Agrartechniker;Agricultural technicians;1;1;
12132;Berufe in der Friedhofsgärtnerei - fachlich ausgerichtete Tätigkeiten;Occupations in cemetery gardening-skilled tasks;6113;Gärtner, Saat- und Pflanzenzüchter;Gardeners, horticultural and nursery growers;1;1;
12133;Berufe in der Friedhofsgärtnerei - komplexe Spezialistentätigkeiten;Occupations in cemetery gardening-complex tasks;6113;Gärtner, Saat- und Pflanzenzüchter;Gardeners, horticultural and nursery growers;1;1;
12142;Berufe im Garten-, Landschafts- und Sportplatzbau - fachlich ausgerichtete Tätigkeiten;Occupations in horticulture, landscape gardening, and sports field maintenance-skilled tasks;6113;Gärtner, Saat- und Pflanzenzüchter;Gardeners, horticultural and nursery growers;1;1;
