,isco_08_key,fraktion,Berufsgattung(ISCO-Stufe 4),Anzahl,median_brutto_group_mean
160,3339.0,Hochspezialisierte Beschäftigte,"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt",21100.0,3932.3333333333335
161,3341.0,Anleitender Beschäftigter,Sekretariatsleiter,478400.0,4976.5
162,3342.0,Hochspezialisierte Beschäftigte,Sekretariatsfachkräfte im juristischen Bereich,135090.0,3208.5
163,3343.0,Hochspezialisierte Beschäftigte,Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung,362980.0,4076.5
164,3344.0,Hochspezialisierte Beschäftigte,Sekretariatsfachkräfte im Gesundheitswesen,170640.0,3246.0
165,3351.0,Staatsangestellte,Fachkräfte im Zolldienst und Grenzschutz,44600.0,3904.0
166,3352.0,Staatsangestellte,Fachkräfte in der Steuerverwaltung,87810.0,3839.5
167,3353.0,Staatsangestellte,Fachkräfte in Sozialverwaltung und -versicherung,159210.0,4062.5
168,3355.0,Staatsangestellte,Polizeikommissare und Kriminalbeamte,80410.0,4205.666666666667
169,3359.0,Staatsangestellte,"Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt",17710.0,4291.0
170,3411.0,Hochspezialisierte Beschäftigte,Nicht akademische Fachkräfte für Rechts- und verwandte Angelegenheiten,68760.0,4684.0
171,3412.0,Hochspezialisierte Beschäftigte,Nicht akademische sozialpflegerische Fachkräfte,249400.0,3858.0
172,3413.0,Hochspezialisierte Beschäftigte,Ordensbrüder/-schwestern und Seelsorgehelfer,5740.0,4100.333333333333
173,3422.0,Hochspezialisierte Beschäftigte,"Sportlehrer, Sporttrainer und Sportfunktionäre",65790.0,4072.5
174,3423.0,Hochspezialisierte Beschäftigte,Trainer und Betreuer im Bereich Fitness und Erholung,92230.0,2679.3333333333335
175,3431.0,Klassisch selbständige Tätigkeit,Fotografen,37440.0,3232.5
176,3432.0,Hochspezialisierte Beschäftigte,Raumgestalter und Dekorateure,38500.0,3290.5
177,3433.0,Hochspezialisierte Beschäftigte,"Fachkräfte in Kunstgalerien, Museen und Bibliotheken",12570.0,3790.8333333333335
178,3434.0,Hochspezialisierte Beschäftigte,Küchenchefs,35060.0,3717.5
179,3435.0,Hochspezialisierte Beschäftigte,Sonstige Fachkräfte in Gestaltung und Kultur,59060.0,3810.7
180,3511.0,Hochspezialisierte Beschäftigte,Techniker für den Betrieb von Informations- und Kommunikationstechnologie,9920.0,5359.0
181,3512.0,Hochspezialisierte Beschäftigte,Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie,152880.0,4934.0
182,3513.0,Hochspezialisierte Beschäftigte,Techniker für Computernetzwerke und -systeme,94800.0,5061.0
183,3514.0,Hochspezialisierte Beschäftigte,Webmaster,10580.0,5255.0
184,3521.0,Hochspezialisierte Beschäftigte,Techniker für Rundfunk und audiovisuelle Medien,32890.0,4004.0
185,4120.0,Dienstleistungsarbeiter,Sekretariatskräfte (allgemein),1776950.0,3455.0
186,4131.0,Dienstleistungsarbeiter,Schreibkräfte und Bediener von Textverarbeitungsanlagen,12340.0,3446.0
187,4211.0,Dienstleistungsarbeiter,Bank- und andere Schalterbedienstete,357140.0,4662.5
188,4214.0,Dienstleistungsarbeiter,Inkassobeauftragte und verwandte Berufe,2710.0,3816.0
189,4221.0,Dienstleistungsarbeiter,Reiseverkehrsfachkräfte,74390.0,3544.5
190,4224.0,Dienstleistungsarbeiter,Hotelrezeptionisten,69270.0,2719.0
191,4311.0,Dienstleistungsarbeiter,Bürokräfte im Rechnungswesen und in der Buchhaltung,359730.0,3676.0
192,4312.0,Dienstleistungsarbeiter,"Bürokräfte in der Statistik, im Finanz- und Versicherungswesen",39740.0,4212.0
193,4321.0,Industriearbeiter,Fachkräfte in der Lagerwirtschaft,652740.0,2981.0
194,4322.0,Dienstleistungsarbeiter,Bürokräfte in der Material- und Fertigungsplanung und verwandte Berufe,263140.0,4195.0
195,4323.0,Dienstleistungsarbeiter,Bürokräfte in der Transportwirtschaft und verwandte Berufe,225570.0,3811.1666666666665
196,4411.0,Dienstleistungsarbeiter,Bibliotheksassistenten,20300.0,3361.0
197,4412.0,Dienstleistungsarbeiter,Postverteiler und -sortierer,200500.0,3542.0
