"","X","ISCO.Code","Stellung.im.Beruf","is_supervisor","self_employed","n_employees","Anzahl","control_work","control_daily","Bezeichnung","isco88","isco88com","simple_wright","power_wright","oesch8","egp7","siops"
"71",350,"2310","Arbeiter*innen & Angestellte",0,0,0,292330,4,2,"Universitäts- und Hochschullehrer","2310","2310","Expert workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","78.16"
"72",355,"2320","Arbeiter*innen & Angestellte",0,0,0,222610,4,2,"Lehrkräfte im Bereich Berufsbildung","2320","2320","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","57.00"
"73",360,"2330","Arbeiter*innen & Angestellte",0,0,0,565340,4,2,"Lehrkräfte im Sekundarbereich","2320","2320","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","62.63"
"74",365,"2341","Arbeiter*innen & Angestellte",0,0,0,214830,4,2,"Lehrkräfte im Primarbereich","2331","2331","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","57.00"
"75",370,"2342","Arbeiter*innen & Angestellte",0,0,0,706050,4,2,"Lehrkräfte und Erzieher im Vorschulbereich","2332","2332","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","49.00"
"76",375,"2351","Arbeiter*innen & Angestellte",0,0,0,45180,4,2,"Pädagogik- und Didaktikspezialisten","2351","2351","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'I   Service class I'","62.28"
"77",380,"2352","Arbeiter*innen & Angestellte",0,0,0,120660,4,2,"Lehrkräfte im Bereich Sonderpädagogik","2340","2340","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","62.00"
"78",385,"2353","Arbeiter*innen & Angestellte",0,0,0,7810,4,2,"Sonstige Sprachlehrer","2359","2359","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","62.28"
"79",390,"2354","Arbeiter*innen & Angestellte",0,0,0,15950,4,2,"Sonstige Musiklehrer","2359","2359","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","62.28"
"80",395,"2355","Arbeiter*innen & Angestellte",0,0,0,7610,4,2,"Sonstige Kunstlehrer","2359","2359","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","62.28"
"81",400,"2356","Arbeiter*innen & Angestellte",0,0,0,5440,4,2,"Ausbilder im Bereich Informationstechnologie","2359","2359","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","62.28"
"82",405,"2359","Arbeiter*innen & Angestellte",0,0,0,58290,4,2,"Lehrkräfte, anderweitig nicht genannt","2359","2359","Skilled workers","Skilled workers","'Socio-cultural (semi-)professionals'","'II  Service class II'","68.00"
"83",410,"2411","Arbeiter*innen & Angestellte",0,0,0,261600,4,2,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe","2411","2411","Expert workers","Skilled workers","'(Associate) managers'","'I   Service class I'","58.45"
"84",415,"2412","Arbeiter*innen & Angestellte",0,0,0,61360,4,2,"Finanz- und Anlageberater","2419","2419","Expert workers","Skilled workers","'(Associate) managers'","'II  Service class II'","58.45"
"85",420,"2413","Arbeiter*innen & Angestellte",0,0,0,29520,4,2,"Finanzanalysten","2419","2419","Expert workers","Skilled workers","'(Associate) managers'","'II  Service class II'","58.45"
"86",425,"2421","Arbeiter*innen & Angestellte",0,0,0,338970,4,2,"Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","2419","2419","Expert workers","Skilled workers","'(Associate) managers'","'II  Service class II'","55.80"
"87",430,"2422","Arbeiter*innen & Angestellte",0,0,0,109860,4,2,"Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft","2419","2419","Expert workers","Skilled workers","'(Associate) managers'","'II  Service class II'","55.80"
"88",435,"2423","Arbeiter*innen & Angestellte",0,0,0,157260,4,2,"Berufsberater und -analytiker und akademische und vergleichbare Personalfachleute","2412","2412","Expert workers","Skilled workers","'(Associate) managers'","'II  Service class II'","55.80"
"89",440,"2424","Arbeiter*innen & Angestellte",0,0,0,23120,4,2,"Fachkräfte in Personalschulung und -entwicklung","2412","2412","Expert workers","Skilled workers","'(Associate) managers'","'II  Service class II'","55.80"
"90",445,"2431","Arbeiter*innen & Angestellte",0,0,0,235660,4,2,"Akademische und vergleichbare Fachkräfte in Werbung und Marketing","2419","2419","Expert workers","Skilled workers","'(Associate) managers'","'II  Service class II'","50.09"
"91",450,"2432","Arbeiter*innen & Angestellte",0,0,0,44060,4,2,"Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit","2419","2419","Expert workers","Skilled workers","'(Associate) managers'","'II  Service class II'","57.00"
"92",455,"2433","Arbeiter*innen & Angestellte",0,0,0,229560,4,2,"Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)","3415","3415","Low skilled workers","Low skilled workers","'(Associate) managers'","'II  Service class II'","48.37"
"93",460,"2434","Arbeiter*innen & Angestellte",0,0,0,41210,4,2,"Akademische und vergleichbare Fachkräfte im Vertrieb von Informations- und Kommunikationstechnologie","3415","3415","Low skilled workers","Low skilled workers","'(Associate) managers'","'II  Service class II'","50.09"
"94",465,"2511","Arbeiter*innen & Angestellte",0,0,0,292220,4,2,"Systemanalytiker","2131","2131","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","51.00"
"95",470,"2512","Arbeiter*innen & Angestellte",0,0,0,347470,4,2,"Softwareentwickler","2131","2131","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","51.00"
"96",475,"2513","Arbeiter*innen & Angestellte",0,0,0,21050,4,2,"Web- und Multimediaentwickler","2131","2131","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","51.00"
"97",480,"2514","Arbeiter*innen & Angestellte",0,0,0,49980,4,2,"Anwendungsprogrammierer","2132","2131","Expert workers","Skilled workers","'Technical (semi-)professionals'","'II  Service class II'","51.00"
"98",485,"2519","Arbeiter*innen & Angestellte",0,0,0,52420,4,2,"Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt","2131","2131","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","51.00"
"99",490,"2521","Arbeiter*innen & Angestellte",0,0,0,11110,4,2,"Datenbankentwickler und -administratoren","2131","2131","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","51.00"
"100",495,"2522","Arbeiter*innen & Angestellte",0,0,0,101440,4,2,"Systemadministratoren","2131","2131","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","51.00"
"101",500,"2523","Arbeiter*innen & Angestellte",0,0,0,8310,4,2,"Akademische und vergleichbare Fachkräfte für Computernetzwerke","2131","2131","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","51.00"
"102",505,"2529","Arbeiter*innen & Angestellte",0,0,0,5930,4,2,"Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt","2139","2139","Expert workers","Skilled workers","'Technical (semi-)professionals'","'II  Service class II'","51.00"
"103",510,"2611","Arbeiter*innen & Angestellte",0,0,0,76490,4,2,"Anwälte","2421","2421","Expert workers","Skilled workers","'(Associate) managers'","'I   Service class I'","73.10"
"104",515,"2612","Arbeiter*innen & Angestellte",0,0,0,26430,4,2,"Richter","2422","2422","Expert workers","Skilled workers","'(Associate) managers'","'I   Service class I'","76.11"
"105",520,"2619","Arbeiter*innen & Angestellte",0,0,0,97090,4,2,"Juristen, anderweitig nicht genannt","2429","2429","Expert workers","Skilled workers","'(Associate) managers'","'I   Service class I'","69.40"
